Channel Name,Channel URL,Subscribers,Sample Video URL,Sample Video Title
"Woodsbound Outdoors","https://www.youtube.com/channel/UCHUbS_UKnPBjJndXpTff4Sg",2840000,"https://www.youtube.com/watch?v=BFheNvvJGoQ","20+ Wilderness Survival Tips and Bushcraft Self Reliance Skills"
"Exploring Alternatives","https://www.youtube.com/channel/UC8EQAfueDGNeqb1ALm0LjHA",2580000,"https://www.youtube.com/watch?v=NV-ScHmOia4","Self-Sufficient Man Built an Off-Grid Tiny House Homestead & Lives on a Minimal Budget"
"Self Sufficient Me","https://www.youtube.com/channel/UCJZTjBlrnDHYmf0F-eYXA3Q",2480000,"https://www.youtube.com/watch?v=pd0AklR4Mug","5 Ways to QUICKLY become More Self Sufficient"
"TA Outdoors","https://www.youtube.com/channel/UC2SMpy2oZV6BoyJEYShw9bw",2470000,"https://www.youtube.com/watch?v=xxVqXdCWL7c","100+ Wilderness Survival Tips: THE MOVIE"
"My Self Reliance","https://www.youtube.com/channel/UCIMXKin1fXXCeq2UJePJEog",2220000,"https://www.youtube.com/watch?v=yUGLNPAnukc","Putting our Permaculture Orchard to Bed for the Winter"
"Kirsten Dirksen","https://www.youtube.com/channel/UCDsElQQt_gCZ9LgnW-7v-cQ",2070000,"https://www.youtube.com/watch?v=XDpZ4jED6zA","30 years self-reliant: family $10K/year homestead & dugout"
"City Prepping","https://www.youtube.com/channel/UCmb2QRAjdnkse21CtxAQ-cA",1230000,"https://www.youtube.com/watch?v=LqCX80kpGc4","The Coming Grid Collapse In 2026: What You Should Know"
"Ovens Rocky Mountain Bushcraft","https://www.youtube.com/channel/UC4jxd-47X7mnekLfxbsAuew",1010000,"https://www.youtube.com/watch?v=seLwyDN2wpQ","10 KILLER Survival Fails"
"Austrian Knife Guy","https://www.youtube.com/channel/UCM-OUiiSxPOELCMQhiMWujg",982000,"https://www.youtube.com/watch?v=b_TEYvg9QDM","20 Wilderness Survival Tips in 6 Minutes"
"SensiblePrepper","https://www.youtube.com/channel/UCzYMTUy7uWCfaoBX0tPJE5A",895000,"https://www.youtube.com/watch?v=Krw3tMsDbTs","Building a Survival Library: Recommended Books"
