Channel Name,Subscribers,Priority Tier,Contact Method,Date Contacted,Response Received,Status,Follow-Up Date,Notes,Specific Video to Reference
A Small Town Prepper,16400,Tier 2,Email: asmalltownprepper@gmail.com,,,Not Started,,"Small but engaged audience, has email",The Prepper Blacklist video
The Ready Life,58400,Tier 1,Website: thereadylife.com,,,Not Started,,"Perfect size, 90-day survival focus",Congressman Bartlett grid-down plan
The Bug Out Location,72600,Tier 1,Website: thebugoutlocation.net,,,Not Started,,"Great size, clear prepper focus, multiple sites",2026 Prepper Checklist video
ESSENTIAL PREPPER,31600,Tier 2,YouTube About page / Comments,,,Not Started,,"No direct contact found, try channel page",90 Days No Power video
City Prepping,1230000,Tier 3,Instagram: @cityprepping,,,Not Started,,"Huge channel (1.2M+), might be hard to reach but worth trying","First 90 Days After Collapse"
Readiness Nation,5640,Tier 2,Instagram: @readiness_nation,,,Not Started,,"Small but niche, might be very responsive",CIA emergency preparedness video
Fallout Raccoon,49600,Tier 1,YouTube About page / Comments,,,Not Started,,"Perfect size, minimalist angle aligns with knowledge multiplier concept",7 Tools survival gear video
WIRED,12600000,Tier 3,Not Recommended,,,Skip,,"Too large (12.6M), mainstream media outlet",N/A
Big Think,8410000,Tier 3,Not Recommended,,,Skip,,"Too large (8.4M), educational focus not survival",N/A

